72451 DDC Dodge City(Awos) Observations at 00Z 16 Jun 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     15                                                               
  925.0    715                                                               
  917.0    790   36.4   11.4     22   9.31    240      9  317.3  347.0  319.1
  906.0    900   34.6   12.6     26  10.21    240     11  316.6  349.0  318.5
  874.5   1219   31.5   10.6     28   9.26    240     15  316.5  346.0  318.3
  850.0   1475   29.0    9.0     29   8.54    250     15  316.5  343.8  318.1
  820.0   1793   25.8    8.8     34   8.74    263     14  316.4  344.2  318.1
  816.6   1829   25.5    8.5     34   8.61    265     14  316.4  343.8  318.1
  788.5   2134   22.7    6.1     34   7.56    280     16  316.6  340.8  318.1
  761.4   2438   19.9    3.8     35   6.63    270     20  316.8  338.1  318.0
  755.0   2511   19.2    3.2     35   6.42    270     20  316.8  337.5  318.0
  734.7   2743   17.0    2.8     39   6.40    270     19  316.8  337.4  318.1
  700.0   3154   13.0    2.0     47   6.36    270     17  316.9  337.3  318.1
  691.0   3263   11.8    1.8     50   6.35    268     18  316.7  337.1  317.9
  658.5   3658    8.3   -1.0     52   5.44    260     23  317.1  334.8  318.1
  611.5   4267    2.9   -5.3     55   4.24    270     30  317.6  331.6  318.5
  606.0   4342    2.2   -5.8     55   4.11    271     31  317.7  331.3  318.5
  599.0   4435    1.8  -10.2     41   2.95    271     32  318.3  328.2  318.9
  566.8   4877   -1.6  -24.6     15   0.92    275     39  319.4  322.7  319.6
  564.0   4917   -1.9  -25.9     14   0.83    275     39  319.5  322.5  319.6
  552.0   5087   -2.9  -28.9     11   0.64    274     39  320.3  322.6  320.4
  504.5   5791   -9.2  -33.3     12   0.46    270     40  321.0  322.7  321.1
  502.0   5829   -9.5  -33.5     12   0.45    270     40  321.0  322.7  321.1
  500.0   5860   -9.7  -34.7     11   0.40    270     40  321.1  322.7  321.2
  484.9   6096  -10.3  -43.8      5   0.16    275     37  323.2  323.8  323.2
  477.0   6223  -10.7  -48.7      3   0.10    273     36  324.3  324.7  324.3
  425.0   7099  -17.3  -55.3      2   0.05    263     31  326.7  326.9  326.7
  412.8   7315  -19.1  -50.4      4   0.09    260     30  327.1  327.5  327.1
  400.0   7550  -21.1  -45.1     10   0.17    270     31  327.5  328.2  327.5
  396.2   7620  -21.7  -42.7     13   0.22    270     31  327.6  328.5  327.6
  395.0   7643  -21.9  -41.9     15   0.25    271     31  327.6  328.6  327.7
  385.0   7831  -23.3  -49.3      7   0.11    279     33  328.2  328.6  328.2
  378.0   7965  -24.3  -43.3     16   0.22    284     34  328.6  329.5  328.6
  371.0   8101  -25.1  -49.1      9   0.12    290     36  329.3  329.8  329.3
  364.4   8230  -26.1  -50.4      8   0.10    295     37  329.7  330.1  329.7
  320.6   9144  -32.9  -59.7      5   0.04    300     36  332.5  332.7  332.5
  317.0   9225  -33.5  -60.5      5   0.03    301     36  332.8  332.9  332.8
  301.0   9587  -35.7  -66.7      3   0.02    305     37  334.6  334.7  334.6
  300.0   9610  -35.7  -65.7      3   0.02    305     37  334.9  335.0  334.9
  293.8   9754  -35.5  -52.5     16   0.10    305     37  337.1  337.6  337.2
  292.0   9797  -35.5  -48.5     25   0.16    306     35  337.8  338.5  337.9
  281.2  10058  -37.3  -48.5     30   0.17    315     20  338.9  339.6  338.9
  280.0  10087  -37.5  -48.5     31   0.17    316     20  339.0  339.7  339.1
  277.0  10161  -37.3  -49.3     28   0.15    318     20  340.4  341.0  340.4
  266.0  10439  -39.7  -51.7     27   0.12    327     19  340.8  341.3  340.8
  263.0  10516  -39.1  -52.1     24   0.12    329     18  342.8  343.3  342.8
  250.0  10860  -42.5  -54.5     26   0.09    340     17  342.7  343.2  342.8
  246.0  10969  -43.5  -54.5     29   0.09    340     17  342.8  343.2  342.9
  245.9  10973  -43.5  -54.5     29   0.09    340     17  342.9  343.3  342.9
  219.0  11746  -48.5  -55.5     44   0.09    239     10  346.7  347.1  346.7
  213.0  11929  -49.7  -57.7     38   0.07    215      8  347.6  347.9  347.6
  203.0  12244  -52.5  -62.5     29   0.04    173      5  348.0  348.2  348.0
  200.0  12340  -53.3  -62.3     33   0.04    160      4  348.2  348.4  348.2
  192.0  12601  -55.5  -63.5     36   0.04    168      3  348.8  348.9  348.8
  187.0  12769  -56.9  -65.9     31   0.03    174      2  349.1  349.3  349.1
  186.0  12802  -56.9  -66.2     30   0.03    175      2  349.7  349.8  349.7
  181.0  12975  -56.9  -67.9     24   0.02    198     10  352.4  352.5  352.4
  173.0  13260  -58.7  -66.7     35   0.03    235     22  354.0  354.2  354.0
  168.9  13411  -59.0  -72.3     16   0.01    255     29  355.9  355.9  355.9
  166.0  13519  -59.3  -76.3      9   0.01    250     32  357.2  357.3  357.2
  160.8  13716  -60.3  -80.8      5   0.00    240     37  358.7  358.7  358.7
  160.0  13749  -60.5  -81.5      5   0.00    241     37  359.0  359.0  359.0
  156.0  13906  -60.1  -81.1      5   0.00    244     37  362.3  362.3  362.3
  150.0  14150  -61.5  -82.5      5   0.00    250     38  363.9  363.9  363.9
  145.0  14359  -63.1  -83.1      5   0.00    252     38  364.7  364.7  364.7
  141.0  14531  -63.3  -82.3      6   0.00    253     38  367.3  367.3  367.3
  128.0  15120  -66.7  -83.7      8   0.00    259     38  371.4  371.5  371.4
  125.5  15240  -66.7  -83.7      8   0.00    260     38  373.6  373.6  373.6
  123.0  15361  -66.7  -83.7      8   0.00    261     38  375.7  375.7  375.7
  121.0  15460  -67.7  -84.7      7   0.00    262     38  375.6  375.6  375.6
  108.0  16140  -69.1  -86.1      7   0.00    270     38  385.4  385.4  385.4
  101.0  16540  -69.1  -86.1      7   0.00    287     41  392.8  392.9  392.8
  100.0  16600  -68.3  -86.3      6   0.00    290     42  395.5  395.5  395.5
   95.2  16895  -68.9  -86.9      6   0.00    298     41  399.9  399.9  399.9
   88.2  17354  -66.7  -85.7      5   0.00    311     39  413.1  413.2  413.1
   83.6  17678  -68.2  -87.2      5   0.00    320     37  416.5  416.5  416.5
   81.5  17828  -68.9  -87.9      5   0.00    311     32  418.1  418.1  418.1
   78.4  18064  -63.1  -85.1      4   0.00    298     24  434.7  434.8  434.7
   75.6  18288  -64.0  -86.0      4   0.00    285     16  437.5  437.5  437.5
   74.0  18418  -64.5  -86.5      3   0.00    295     18  439.0  439.1  439.0
   70.0  18760  -60.7  -85.7      2   0.00    320     22  454.2  454.2  454.2
   68.6  18886  -59.1  -85.1      2   0.00    334     21  460.2  460.3  460.2
   68.5  18898  -59.2  -85.2      2   0.00    335     21  460.4  460.4  460.4
   65.2  19202  -60.6  -86.6      2   0.00    325      1  463.8  463.8  463.8
   60.2  19697  -62.9  -88.9      2   0.00     16      2  469.3  469.3  469.3
   56.8  20057  -60.1  -88.1      1   0.00     54      3  483.5  483.5  483.5
   56.2  20117  -60.5  -88.2      2   0.00     60      3  484.0  484.0  484.0
   55.0  20257  -61.3  -88.3      2   0.00     61      7  485.2  485.2  485.2
   52.8  20511  -59.5  -88.5      1   0.00     63     14  495.1  495.1  495.1
   51.0  20726  -61.0  -89.2      1   0.00     65     20  496.6  496.6  496.6
   50.6  20776  -61.3  -89.3      1   0.00     71     17  496.9  496.9  496.9
   50.0  20850  -60.1  -88.1      1   0.00     80     12  501.4  501.4  501.4
   48.6  21031  -57.6  -87.7      1   0.00     45      3  511.5  511.5  511.5
   46.7  21282  -54.1  -87.1      1   0.00     49     13  525.7  525.7  525.7
   46.3  21336  -54.2  -87.1      1   0.00     50     15  526.7  526.8  526.7
   44.1  21641  -54.8  -87.3      1   0.00     80     18  532.6  532.7  532.6
   42.1  21946  -55.3  -87.5      1   0.00     70     11  538.6  538.6  538.6
   40.1  22250  -55.9  -87.6      1   0.00     95     24  544.6  544.6  544.6
   38.2  22555  -56.5  -87.8      1   0.00     90     13  550.6  550.7  550.7
   36.4  22860  -57.0  -87.9      1   0.00     55     12  556.8  556.8  556.8
   34.7  23165  -57.6  -88.1      1   0.00     80     18  563.0  563.0  563.0
   33.1  23470  -58.2  -88.3      1   0.00     45     14  569.3  569.3  569.3
   32.7  23548  -58.3  -88.3      1   0.01     48     14  570.9  570.9  570.9
   31.6  23774  -54.8  -86.5      1   0.01     55     13  586.0  586.1  586.0
   30.7  23951  -52.1  -85.1      1   0.01     29     14  598.0  598.1  598.0
